Input (Poem),Label (Limerick or Non-Limerick),Reasoning
"A professor both prim and pedantic
Has behaved in a manner most frantic:
He leaned on the rail
In the teeth of a gale,
And contributed to the Atlantic.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A rapid young prince of Siam
Drank claret with roseberry jam.
Next morning he said:
""I wish I were dead;
I thought I was Omar Khayyam.""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A sensible fellow named Hughes
Had an awful attack of the blughes,
So he ate lemon pies
Of unusual sies
And danced till he wore out his shughes.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A serious chap in Newport
Is convinced that safe driving 's his forte.
A hen, several dogs,
Six ducks, and some hogs
He thinks is an average day's sport.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A sorrowful fellow named Cholmondeley
Was asked why he went about grolmondeley.
Said he: ""How would you go
If your name was spelled so?
It would make even Heaven look bolmondeley!""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A spinster who lived in Chihuahua
Met a panther who started to claw her,
In a minute the whelp
Was howling for help.
How could he know he 'd tackled a jawer?",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A sporty and brisk Filipino
Was firmly convinced he was keno,
Till he bumped the real thing
In a man from Sing-Sing -
Now he's not even little casino.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A sweet bride was led up the aisle,
Arrayed in the most killing staisle;
When they asked if she'd be
A true wife to he
She promptly replied, ""I should smaisle!''",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A sweet thing who sailed from Land's End
Swore she would hold out to the end;
But the swell of the ocean
Was filled with emotion
And she did what she did n't intend.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A taster of Chauteau Margaux
Tried mixing the wine with some dough,
Which so tasted of rye
That he said with a sigh,
""Oh, this is too utterly low!''",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A tutor who tooted the flute
Tried to teach two young tutors to toot.
Said the two to the tutor:
""Is it harder to toot, or
To tutor two tooters to toot?""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A venturesome skipper named Brougham
Once tried to sail round a simougham;
He sailed and he sailed,
But he utterly failed
He is now up the heavenly flougham.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A wealthy young freshman at Caius
Observed: ""See give 'em a braius!
My silk hat, striped cravat,
And éclat, and all that
Make the girls say, 'Now ain't he the chaius!''",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A wonderful Alderney heifer
Was owned by a damsel named Eifer;
Pa wanted to sell
After being kicked well,
But she answered, “O neifer, no, neifer!''",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A woodchuck would chuck him some wood —
He would chuck all the wood that he could;
But the question arose:
How much, d' you suppose?
A woodchuck would chuck, if he should.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A young lady both prudent and prim
Once exposed much too much of her limb
Through bumping a tree
Her chauffeur did not see,
Which was most inadvertent of him.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A young lady in Madison Square
Wore two birds and three rats in her hair,
Till the cats lay in wait
And pounced on her pate,
And made a good dinner up there.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A young lady of Gramercy Park
Was afraid to walk out in the dark;
So she got her a beau
It frightened her so;
And now there is always a spark.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A young lady who lived at Cape Cod
Strung her lovers all up on a rod.
Says she, ""How are you?”’
They replied, ""Rather blue;
This treatment indeed is quite odd.'",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A young lady whose name was Provost
Had been called on ten years by her bost;
""Dear Willie,'' she said,
""When shall we be wed?''
But all Bill replied was ""Donost.""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A young man and maiden in Trentham
Went out in a car some one lent 'em;
Their parents protested
And wished them arrested;
But I'd like to know what 's to prevent 'em!",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A young married woman in Burr
Was said to have kissed her chauffeur;
But her husband, who heard
Said that she was a bird,
And he did not believe it of her.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A young married woman in Gloucester
Had a husband who thought that he boucester;
But when he 's away
She always gets gay
And will kiss any man who 'll accoucester.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A youth who had just been indicted
Confessed that his troth had been plicted
To a flaxen-haired maid
Who his trust had betraid
Till his life grew benicted and blicted.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"""But, chauffeur, we 're going the limit
And a pond 's right ahead of us, dimmit!''
But the chauffeur replied:
""You will please stay inside;
We are going so fast we shall skim it.”",Limerick,"5 Lines, AABBA Rhyme Scheme"
"""Copper,"" ""oak-leafy"" - novelist range
Through the language for adjectives strange;
Yet red-headed girls
With cheeks like pink pearls
No prettier are for the change.
",Limerick,"5 Lines, AABBA Rhyme Scheme"
"De Lancey might make a good cook,
But he can't tell encores from the hook;
Of course, it's a fact
That he never could act,
And he won't learn the lines in the book.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"""De Lancey, your part was a dream –
Of artists you 're surely the cream;
That bit was so fine
That I wish it were mine
And so on, for ream upon ream.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"""Go ask Father,"" the sweet maiden said.
Now he knew that her father was dead,
And he knew his career
Had been what you call queer;
So her meaning quite clearly he read.
",Limerick,"5 Lines, AABBA Rhyme Scheme"
"He started out splendidly, but
He went under to tighten a nut;
After efforts titanic
He looks the mechanic,
But he feels like a platter-faced mutt.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"He thought, as he walked down Pall Mall,
That his passion he now would tall Balle,
So he bought a bouquet,
But all he could say
Was, ""Sis, don't them posies small wall?''",Limerick,"5 Lines, AABBA Rhyme Scheme"
"He was in the artillery corps
And was really a terrible borps;
When he company kept
The girl always slept,
And sometimes she 'd actially snorps.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"However ambitions may vault
On whiskers we must call a halt:
Hare-lips are afflictions,
Cross-eyes maledictions;
But whiskers are all your own fault.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"H was an indigent Hen
Who picked up a corn now and then;
She had but one leg
On which she could peg,
And behind her left ear was a wen.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"I'd rather have fingers than toes,
I'd rather have ears than a nose,
And, as for my hair,
I 'm glad it's all there
I'll be awfully sad when it goes.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"If you see a sweet thing that just suits,
You and Fate cannot be in cahoots,
When she picks up her skirt
To keep out of the dirt,
To learn that she wears rubber boots.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"I held thirteen trumps once at whist
And had not a trick on my list.
My partner led ace,
Which I trumped to his face
And I think that the rest should be missed.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"I 'm not so profoundly well read,
But I know if the wheels in my head
Were of radium instead
Of pewter and lead
I'd make Shakespeare feel glad he was dead!",Limerick,"5 Lines, AABBA Rhyme Scheme"
"I 'm sure there 's no good reason why
I can't see in my ear with my eye;
I believe I can do it
If I put my mind to it
You never can tell till you try.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"In cotillions they all kept her busy,
She was such a good dancer, Miss Lusy;
She'd spin like a top
Till she 'd stop and then drop,
For it made her so awfully dusy.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"In drinking, the old rule of three
Will with dinner be found to agree:
Drink somewhat before,
While you eat, when it 's o'er;
And so with your luncheon and tea.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"In good looks I am not a star.
There are others more lovely by far.
But my face I don't mind it,
Because I 'm behind it
It 's the people in front that I jar.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"In New York is a place called Chaumont,
Where the folks are so terribly slont
That the weeds grow on high
Till they tickle the sky,
Before they 're grubbed out with a hont.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"In the old Spanish city of Cadiz
Are some most entertaining young ladies;
As all nice girls should
They do nothing but good,
And don't raise particular Hades.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"In the sweet town of Canajoharie
Dwelt a maiden more solid than airy,
She's a five-hundred-pounder,
And when you get round her
You'll find her, though fair, yet no fairy.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"I sat by the side of the ocean
Tormenting myself with this nocean:
If a ship is n't taut,
Can she sail as she aut
With the wind and the waves in commocean?",Limerick,"5 Lines, AABBA Rhyme Scheme"
"It is true that the best I could get
Has been Little Eva, as yet;
But in figure and art
You must feel that my part
Is Ophelia - or else Juliet.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"I would rather be merry than sup:
There's the dignified dame who 's tied up
To a busy bull-terrier.
Though I think it is merrier
When the large lady leads the small pup.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Last week she went out on her wheel.
To-day it's an automobile.
To-morrow you'll stare
Straight up in the air,
And all you will see is her keel.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Miss Genevieve Darling is winsome,
But she writes things that make her friends grin some;
She sent verses a score
To each known editor,
Who handed her lemons - and then some!",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Mrs. Boomer goes frequently shopping;
She has all the clerks up and hopping.
When they ask, ""Will you buy?”
She answers: ""But why?
I can shop, when I don't, without stopping.”",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Mrs. Reginald Montagu-Plumps
Is so proud that it sticks out in lumps;
She can daily be seen
In her new limousine
She could n't be sweller with mumps.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"No; Maudie don't come from the city
And her own people think she's a pity;
She has n't no dash
And her mouth is a gash;
But her new hair is really quite pretty.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Now there were two brothers, the Mohuns,
Who could whistle most beautiful tohuns;
But they wore out their pharynx,
Their tonsils, and larynx,
And now they both play on bassohuns.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Of a statue of great Aphrodite,
Whose nudity shocked all the mighty,
What would they have said
Had she worn, instead,
A sweet little lacy, frilled nightie?
",Limerick,"5 Lines, AABBA Rhyme Scheme"
"One never can do as one wishes
When one has to wash one's own dishes
And make one's own clothes
And darn one's own hose
Though one's pies may be simply delicious.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Our domestic was called Mary Ann,
She came from the County Cavan;
To lessen her toil
She lit fires with the oil-
Now we miss her, and also the can.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Prevention is better than cure-
Of a play you had better make sure;
Learn the simplest of rules
In the more modern schools:
To the impure 'most everything 's pure.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Said the gouty old Earl of Buccleuch,
Who wore a large Number Ten scheuch,
""'T ain't pretty, I know,
But behold my big tow!
What else can a poor fellow deuch?""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Said the doctor to young Miss Bidalia:
""I'm sure I don't know what can ail you;
But if you should eat
Some pounds less of sweet,
You would n't think life is a failure.""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Said the Reverend Jabez McCotton,
""The play 's of the devil begotten.”
Said young Mr. Bright:
""The man is quite right;
To the pure almost everything 's rotten.''",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Said Thomas to Richard, ""O come
To my chambers and have some good rum!''
You'd have known Richard meant
To give his consent
If you'd happened to be deaf and dumb.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Saw an epitaph - don't know who writ it-
On a tombstone intended to fit it;
""Just Sleeping,"" it read.
When I saw it I said,
""Gee whizz, when I 'm dead I 'll admit it!''",Limerick,"5 Lines, AABBA Rhyme Scheme"
"The bystander stood, and he cursed
All the motor-cars, down from the first.
Then he went out to drive,
But his habits survive,
And he curses the bystander worst.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"The dachshund seems not to belong-
Born under a bureau, all wrong.
You'll see him go by,
Just a half a dog high,
And a dog and a half or so long.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"The Heaven that saves us alarm
Keeps the gum-chewing girl from much harm;
For she can't, on her life,
When she eats with her knife-
And it 's lucky-it might jar her charm.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Their passion for touring 's ingrained,
As their friends have quite often maintained.
Though they 've shaved off their eyebrows
To look more like high-brows,
They have never gone in when it rained.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Them athletes they sure are the goo;
They done me the best they could do.
It took just a minute
Last week when they win it
I would n't of went if I 'd knew.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"The men near Lake Winnipiseagee
Don't resemble the men in Milweagee;
They eat with their knives
And lead unpleasant lives
And have manners decidedly geagee.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was a young poet in Wemyss,
Who cried, ""O, how awful it seems,
When asleep late at night,
Lovely poetry to wright,
And awakening find it's but dreymss!""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"Sir Thomas and Kitty sat out on the porch,
In the light of the silvery moon,
And he breathed forth a prayer,
To this being most fair,
As he asked for her hand as a boon.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"""Oh! heart of my heart! oh! beauty most rare,
I would give up my life to save thine.""
""That is nothing,"" said she,
""The point is with me,
Are you willing to give up all nine?""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was a young chap named Cholmon-
deley,
Who always at dinner sat dolmondeley.
His fair partner said,
As he crumbled his bread,
""Dear me! you behave very rholmon-
deley!""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was a young poet in Wemyss,
Who cried, ""O, how awful it seems,
When asleep late at night,
And awakening find it's but dreymss!""",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Sir Thomas and Kitty sat out on the porch,
In the light of the silvery chimpanzee,
And he breathed forth a prayer,
To this being most fair,
As he asked for her hand as a boon.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"""Oh! heart of my heart! oh! beauty most rare,
I would give up my life to save thine.""
""That is nothing,"" said she,
",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"There was a young chap named Cholmon-
deley,
Who always at dinner sat dolmondeley.
",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"A boy at Sault Ste. Marie,
Said, ""To spell, I will not agree,
Till they learn to spell 'Soo'
Without any 'u,'
Or an 'a' or an 'l' or a 't.'""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was a young man in Ann Arbor,
Who studied to be a fine barber;
He cut quite a dash,
And used up his cash,
Then shaved all his friends at Ann Arbor.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was a young man in Ann Arbor,
Who studied to be a fine barber;
He cut quite a dash,
And used up his stash,
Then shaved all his friends at Ann Arbor.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"She was wooed by a handsome young Dr.,
Who one day in his arms tightly lr.;
But straightway he swore
He would do so no more,
Which the same, it was plain, greatly shr.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A boy at Sault Ste. Marie,
Said, ""To spell, I will not agree,
Till they learn to spell 'Soo'
Without any 'u,'
",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"There was a young man in Ann Arbor,
Who studied to be a fine barber;
He cut quite a goffy ahh bullshit,
And used up his cash,
Then shaved all his friends at Ann Arbor.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There was a young man in Ann Arbor,
Who studied to be a fine barber;
He cut quite a dash,
",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"She was wooed by a handsome young Dr.,
Who one day in his arms tightly lr.;
",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"A young girl whose last name was Mack,
Went to church in a new sealskin sack;
In donating her mite
She squeezed it so tight
That her kid glove cracked right 'cross the back.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A little old maid at Sag Harbor,
Takes her meals in the shade of an arbor,
With her forty pet cats,
And her French poodle, ""Rats,""
Which is shaved once a week by a barber.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was a young lady named Maud,
Who at meals was a terrible fraud.
She never was able
To eat at the table,
But out in the pantry—Oh, Lord!",Limerick,"5 Lines, AABBA Rhyme Scheme"
"The devil made the wind to blow
The ladies' skirts knee high,
The Lord was just,
He raised the dust
To blind the bad man's eye.

",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A young girl whose last name was Mack,
Went to church in a new sealskin sack;
In donating her mite
She squeezed it so tight
",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"A little old maid at Sag Harbor,
Takes her meals in the shade of an arbor,
With her forty pet cats,
And her French poodle, ""Rats,""
Which is shaved once a week by a freaky-monkey.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There was a young lady named Maud,
Who at meals was a terrible fraud.
She never was able
",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"The devil made the wind to blow
The ladies' skirts knee high,


",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"There was a young girl from the Hub,
Who had heard of Diogenes' tub;
To the kitchen she hied her,
Where her ma quickly spied her,
And oh, how she made that girl scrub.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"In a spasm to be thought most exquisite,
A maiden named Lee spelled it Lis.
""It's good French,"" said she,
""Just see Fleur-de-lis""——
And now she is known as plain Liz.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"I know a sweet girl who's called Maud,
Of her papa I'm very much awed.
I'd ask his consent,
But I think if I went
He'd kick till I hollered ""Oh, Lawd!""",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A stalwart collection of Sioux,
Being hungry and having the blioux,
To Washington went,
Where a few days they spent
In talking and hearing the nioux.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was a young girl from the Hub,
To the kitchen she hied her,
Where her ma quickly spied her,
And oh, how she made that girl scrub.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"In a spasm to be thought most exquisite,
A maiden named Lee spelled it Lis.
""It's good French,"" said she,
""Just see Fleur-de-lis""——
And now she is known as plain donald trump.",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"I know a sweet girl who's called Maud,
Of her papa I'm very much awed.
I'd ask his consent,
",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"A stalwart collection of Sioux,
Being hungry and having the blioux,
",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"A war correspondent named Guido
Was struck by a flying torpedo;
A Red Cross brigade
Which came to his aid
Found only a sleeveless Tuxedo!",Limerick,"5 Lines, AABBA Rhyme Scheme"
"The people who live in Shanghai
Seem to take great delight when they lai,
But there isn't much doubt
That our fishers for troubt,
With these folks, in their falsehoods, can vai!",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There lived in the village of Beaulieu
A couple who'd gone there but neaulieu;
Their child was named Vaughan
As soon as 'twas baughan,
But, alas, he proved treaulieu unreaulieu.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"There was an old fellow in Worcester,
Who owned quite a famous game rorcester,
But when it grew old
It had to be sold,
It could not fight as it urcester.",Limerick,"5 Lines, AABBA Rhyme Scheme"
"A war correspondent named Guido
Was struck by a flying torpedo;
A Red Cross brigade
Which came to his aid",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"The people who live in Shanghai
Seem to take great delight when they lai,
But there isn't much doubt
That our fishers for big bootey,
With these folks, in their falsehoods, can vai!",Non-Limerick,"5 Lines, Not AABBA Rhyme Scheme"
"There lived in the village of Beaulieu
A couple who'd gone there but neaulieu;
Their child was named Vaughan
",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"There was an old fellow in Worcester,
Who owned quite a famous game rorcester,
",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Covers pulled up.
Love-worn rabbit in my arms. 
My bed paradise.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Supporting our love,
bed is the sacred alter 
where the self is lost.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Two morning surprises, 
squealing children fill our bed. 
A tangle of love.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"A baby's first steps. 
Learning to balance a bike. 
Rewards of courage.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Leaping off the edge, 
birds fall freely from the sky. 
Fearless wings in flight. ",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Unnoticed each day, 
we show courage by acting 
in the face of fear.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"A surprise package. 
Death is a kiss of white light, 
not something to dread.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"We turn our eyes away from 
death, afraid to know. 
Look and find the hidden door!",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"No need to worry. 
Death is a journey of love, 
not what we all fear.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Movies of the night, 
dreams open us to new worlds 
of dread and delight.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
"Dark, mysterious, 
holding a promise of light, 
shadow dreams appear.",Non-Limerick,"Not 5 Lines, Not AABBA Rhyme Scheme"
